Reporting month;;;;;Sales Month;Platform;Country / Region;Label Name;Artist Name;Release title;Track title;UPC;ISRC;Release Catalog nb;Release type;Sales Type;Quantity;Client Payment Currency;Unit Price;Mechanical Fee;Gross Revenue;Client share rate;Net Revenue
2024-11-01;;;;;2024-10-01;Facebook / Instagram;Netherlands;Müzik Dağıtım;Yaşar Dede;Arkamdan Konuşan Çok Var;Arkamdan Konuşan Çok Var ;3617050126900;FR-X45-22-43676;;Music release;Stream;20;EUR;0.000021;0.000000;0.000420429800000;0.7;0.000294300860000
2024-11-01;;;;;2024-10-01;Spotify;Norway;Subaşı Yapım;kefo, OSİ;OTOPSİ;OTOPSİ ;3617052087001;FR-X87-22-84334;;Music release;Stream;14;EUR;0.004559;0.000000;0.063824000000000;0.7;0.044676800000000
2024-11-01;;;;;2024-11-01;YouTube UGC;Greece;Müzik Dağıtım;Yaşar Dede;En iyi Roman Havaları;Yeme Beni Yerim Seni ;3616845395699;TR-BYT-22-00007;;Music release;Stream;80;EUR;0.001377;0.000000;0.110126566070929;0.7;0.077088596249650
2024-11-01;;;;;2024-11-01;YouTube UGC;Turkey;Müzik Dağıtım;Yaşar Dede;En iyi Roman Havaları;Telefona Bak ;3616845395699;TR-BYT-22-00002;;Music release;Stream;7852;EUR;0.000386;0.000000;3.028008304948036;0.7;2.119605813463626
2024-11-01;;;;;2024-11-01;YouTube UGC;United kingdom;Müzik Dağıtım;Orheyn;Karacadağ;Karacadağ Remix;3617384170600;FR-59R-24-17690;;Music release;Stream;151;EUR;0.004251;0.000000;0.641928817732729;0.7;0.449350172412911
2024-11-01;;;;;2024-11-01;YouTube UGC;Ukraine;Müzik Dağıtım;Orheyn;Karacadağ;Karacadağ Remix;3617384170600;FR-59R-24-17690;;Music release;Stream;202;EUR;0.000475;0.000000;0.095860641694143;0.7;0.067102449185900
2024-11-01;;;;;2024-11-01;YouTube Official Content;Romania;Müzik Dağıtım;Esendereli Ali;Best Of Roman Havaları;Çat Çat Karisinin Bir Tanesi ;3616845697267;TR-BYT-20-00004;;Music release;Stream;20;EUR;0.001379;0.000000;0.027575701982834;0.7;0.019302991387984
2024-11-01;;;;;2024-11-01;YouTube UGC;Bulgaria;Cansever Müzik;Cansever;Hey Hey;Hey Hey ;3617059981333;FR-X45-23-64819;;Music release;Stream;56109;EUR;0.000597;0.000000;33.499681419658984;0.7;23.449776993761287
2024-11-01;;;;;2024-11-01;YouTube Official Content;United kingdom;Cansever Müzik;Cansever;Hey Hey;Hey Hey ;3617059981333;FR-X45-23-64819;;Music release;Stream;66;EUR;0.009373;0.000000;0.618614365901591;0.7;0.433030056131114
2024-11-01;;;;;2024-11-01;YouTube UGC;Nigeria;Cansever Müzik;Cansever;Cansever ce;Geliyor havalı geliyor ;3616849534162;US-CGJ-20-85348;;Music release;Stream;110;EUR;0.000110;0.000000;0.012061867144611;0.7;0.008443307001228
